year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2022,0.34,55000,Petrol,Automatic,Islamabad,Silver,Imported,660,Hatchback,10,0,39,13,Toyota
2016,0.53,170000,Hybrid,Automatic,Punjab,White,Imported,1500,Crossover,34,9,50,38,Honda
2021,0.74,108000,Petrol,Automatic,Islamabad,Blue,Local,2000,SUV,18,23,40,42,Hyundai
2023,0.56,19000,Petrol,Automatic,Sindh,Black,Local,1200,Crossover,28,10,58,24,Peugeot
2012,0.46,125610,Hybrid,Automatic,Islamabad,White,Imported,1800,Sedan,18,9,40,37,Toyota
2024,0.8,17000,Petrol,Automatic,Punjab,White,Local,2000,Crossover,28,23,38,35,KIA
2015,0.28,96000,Petrol,Manual,Sindh,other,Local,1300,Sedan,10,3,17,13,Honda
2009,0.26,114000,Petrol,Manual,Punjab,White,Local,1300,Sedan,10,0,9,4,Toyota
2011,1.03,115000,Petrol,Automatic,Punjab,other,Imported,1800,Sedan,18,30,50,42,Mercedes-Benz
2015,0.51,92000,Hybrid,Automatic,Punjab,other,Imported,1500,Crossover,28,13,45,38,Honda
2023,0.94,33808,Hybrid,Automatic,Punjab,Black,Local,1500,SUV,37,23,62,35,Haval
2020,2.67,66000,Petrol,Automatic,Un-Registered,Black,Imported,2700,SUV,18,21,39,44,Toyota
2020,0.62,45600,Petrol,Automatic,Un-Registered,Black,Imported,1000,Crossover,23,13,45,45,Toyota
2021,0.64,41000,Petrol,Automatic,Sindh,Black,Local,1800,Sedan,24,21,44,30,Toyota
2026,1.13,100,REEV,Automatic,Un-Registered,Black,Local,1500,SUV,37,30,62,60,Deepal
2019,0.42,86823,Petrol,Automatic,Punjab,White,Local,1300,Sedan,10,0,16,4,Toyota
2011,0.23,156000,Petrol,Manual,Sindh,Black,Local,1300,Sedan,7,0,6,4,Toyota
2008,0.52,55000,Petrol,Automatic,Islamabad,Black,Imported,2500,Sedan,0,17,27,13,Toyota
2020,0.6,48000,Petrol,Automatic,Un-Registered,White,Imported,1000,Crossover,0,6,27,19,Toyota
2006,0.27,76000,Petrol,Manual,Islamabad,White,Local,1300,Sedan,14,0,9,6,Honda
2004,0.16,98500,Petrol,Automatic,Sindh,Black,Local,1500,Sedan,19,16,15,13,Honda
2022,0.78,65000,Petrol,Automatic,Islamabad,White,Imported,1600,Crossover,7,6,27,19,Chery
2014,0.03,180000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,7,0,6,4,Toyota
2017,0.58,100000,Hybrid,Automatic,Sindh,White,Imported,1500,Sedan,14,9,34,38,Toyota
2024,0.83,21700,Petrol,Automatic,Sindh,White,Local,1500,Sedan,23,18,44,35,Honda
2015,0.4,95000,Petrol,Automatic,Sindh,Black,Local,1800,Sedan,24,17,40,30,Toyota
1998,0.17,200000,Petrol,Manual,Punjab,other,Local,1600,Sedan,10,0,0,4,Toyota
2010,0.25,225000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,10,3,17,13,Honda
